Number,City,Country,Latitude,Longitude,Date,Max Temp (C),Cloudiness %,Humidity %,Wind Speed (kph)
1,Port Elizabeth,ZA,-33.92,25.57,1579821494,19.0,11,77,5.7
2,Avarua,CK,-21.21,-159.78,1579821494,28.0,90,88,4.1
3,Severo-Kuril'sk,RU,50.68,156.12,1579821232,-8.32,82,82,3.71
4,Albany,US,42.6,-73.97,1579821494,0.0,90,58,0.42
5,Copiapo,CL,-27.37,-70.33,1579821453,25.0,0,47,6.2
6,Iqaluit,CA,63.75,-68.51,1579821494,-33.0,5,67,12.9
7,Ushuaia,AR,-54.8,-68.3,1579821387,10.0,75,71,10.8
8,Doka,SD,13.52,35.77,1579821494,15.1,32,31,5.49
9,Salalah,OM,17.02,54.09,1579821495,24.0,75,78,1.5
10,Castro,BR,-24.79,-50.01,1579821495,15.55,100,98,3.02
11,Bloemfontein,ZA,-29.12,26.21,1579821495,19.0,72,68,5.1
12,Punta Arenas,CL,-53.15,-70.92,1579821495,13.0,40,43,10.8
13,Yulara,AU,-25.24,130.99,1579821306,25.0,72,36,7.2
14,Kodiak,US,57.79,-152.41,1579821495,-7.0,1,48,11.8
15,Nuuk,GL,64.18,-51.72,1579821496,-3.0,100,86,21.6
16,Olafsvik,IS,64.89,-23.71,1579821496,-0.64,100,64,18.24
17,Kapit,MY,2.02,112.93,1579821496,23.61,100,97,0.84
18,Tuktoyaktuk,CA,69.45,-133.04,1579821496,-26.0,40,75,4.6
19,Iwanai,JP,42.97,140.51,1579821496,-4.69,100,74,8.78
20,Te Anau,NZ,-45.42,167.72,1579821496,18.73,85,68,1.98
21,Ponta do Sol,PT,32.67,-17.1,1579821496,15.0,40,62,5.7
22,Hermanus,ZA,-34.42,19.23,1579821497,20.0,50,80,6.71
23,Pisco,PE,-13.7,-76.22,1579821497,25.56,75,30,5.7
24,Grindavik,IS,63.84,-22.43,1579821497,0.0,90,66,17.0
25,Kumul,CN,42.8,93.45,1579821497,-12.61,74,69,0.19
26,Novopokrovka,UA,49.84,36.55,1579821497,-3.0,29,58,5.0
27,Port Hardy,CA,50.7,-127.42,1579821497,10.0,75,87,3.6
28,Jamestown,US,42.1,-79.24,1579821497,3.33,90,43,2.6
29,Chui,UY,-33.7,-53.46,1579821498,20.8,0,82,4.73
30,Mount Gambier,AU,-37.83,140.77,1579821271,15.0,90,87,4.6
31,Mahebourg,MU,-20.41,57.7,1579821374,26.67,75,94,5.67
32,Kibre Mengist,ET,5.88,38.98,1579821498,13.61,100,61,0.7
33,Atuona,PF,-9.8,-139.03,1579821498,27.3,38,77,5.72
34,Svetlaya,RU,46.54,138.33,1579821498,-10.75,0,52,5.99
35,Butaritari,KI,3.07,172.79,1579821498,29.25,31,72,4.96
36,Yellowknife,CA,62.46,-114.35,1579821499,-20.0,75,83,3.6
37,Kapaa,US,22.08,-159.32,1579821363,26.0,75,65,5.7
38,Bluff,NZ,-46.6,168.33,1579821499,25.56,66,57,2.24
39,Airai,TL,-8.93,125.41,1579821499,24.43,48,67,0.75
40,Lebu,CL,-37.62,-73.65,1579821499,16.83,17,66,4.45
41,Rikitea,PF,-23.12,-134.97,1579821499,26.28,0,79,7.82
42,Torbay,CA,47.67,-52.73,1579821499,-2.78,90,79,6.2
43,Sur,OM,22.57,59.53,1579821499,18.56,1,78,3.32
44,Busselton,AU,-33.65,115.33,1579821500,20.56,2,50,3.89
45,Killybegs,IE,54.63,-8.45,1579821500,6.67,78,93,0.89
46,Quezon,PH,7.73,125.1,1579821500,24.44,60,1,1.38
47,Ndele,CF,8.41,20.65,1579821500,19.06,34,17,4.7
48,New Norfolk,AU,-42.78,147.06,1579821500,17.22,75,54,7.7
49,Norman Wells,CA,65.28,-126.83,1579821500,-19.0,90,84,1.5
50,Pentecoste,BR,-3.79,-39.27,1579821500,28.33,100,76,7.6
51,Port Hedland,AU,-20.32,118.57,1579821501,27.0,14,94,2.1
52,Puerto Ayora,EC,-0.74,-90.35,1579821338,29.0,75,62,2.1
53,La Rochelle,FR,46.17,-1.15,1579821501,3.0,100,86,6.7
54,Gerash,IR,27.67,54.14,1579821501,9.33,84,89,1.21
55,Mossamedes,AO,-15.2,12.15,1579821263,23.25,84,78,4.19
56,Panaba,MX,21.28,-88.27,1579821501,21.28,19,73,3.74
57,Antequera,ES,37.02,-4.56,1579821501,13.33,75,87,3.6
58,Tallahassee,US,30.44,-84.28,1579821230,18.0,90,63,4.6
59,Margate,GB,51.38,1.39,1579821287,7.22,75,93,0.5
60,Saint-Philippe,RE,-21.36,55.77,1579821228,26.0,90,100,2.1
61,Greensboro,US,36.07,-79.79,1579821425,6.0,1,52,2.52
62,Biak,ID,-0.91,122.88,1579821502,27.17,35,71,1.61
63,Kruisfontein,ZA,-34.0,24.73,1579821502,16.84,2,88,4.24
64,Chokurdakh,RU,70.63,147.92,1579821210,-35.99,15,93,3.75
65,Lishui,CN,28.46,119.91,1579821502,9.25,100,95,1.31
66,Bandarbeyla,SO,9.49,50.81,1579821257,25.3,99,83,7.94
67,Collierville,US,35.04,-89.66,1579821325,7.0,90,100,3.1
68,Muros,ES,42.78,-9.06,1579821503,10.0,95,93,2.1
69,Kimberley,ZA,-28.73,24.76,1579821503,21.31,71,53,5.93
70,Tocopilla,CL,-22.09,-70.2,1579821503,15.96,81,81,1.99
71,Cabo San Lucas,MX,22.89,-109.91,1579821337,22.78,20,60,4.6
72,Port Alfred,ZA,-33.59,26.89,1579821503,18.33,86,90,1.79
73,Shieli,KZ,44.17,66.75,1579821503,1.83,73,80,7.98
74,Ahipara,NZ,-35.17,173.17,1579821232,28.89,0,71,0.89
75,Dikson,RU,73.51,80.55,1579821504,-23.48,100,96,5.56
76,Upernavik,GL,72.79,-56.15,1579821504,-21.03,37,59,3.72
77,Mar del Plata,AR,-38.0,-57.56,1579821492,30.0,40,55,7.7
78,Namatanai,PG,-3.67,152.43,1579821504,28.79,33,75,2.47
79,Aklavik,CA,68.22,-135.01,1579821254,-24.0,75,75,1.0
80,Yaan,NG,7.38,8.57,1579821504,24.21,19,14,3.12
81,Oltu,TR,40.55,42.0,1579821504,-10.3,98,92,2.16
82,Cape Town,ZA,-33.93,18.42,1579821451,20.0,0,68,8.7
83,Barrow,US,71.29,-156.79,1579821504,-24.0,90,69,5.1
84,College,US,64.86,-147.8,1579821505,-21.11,90,83,1.17
85,Kyshtovka,RU,56.55,76.63,1579821505,-2.85,100,92,4.13
86,Fortuna,US,40.6,-124.16,1579821505,15.56,90,82,2.6
87,Honiara,SB,-9.43,159.95,1579821458,31.0,20,62,1.0
88,Doha,QA,25.29,51.53,1579821405,16.0,40,63,4.6
89,Jalu,LY,29.03,21.55,1579821505,11.62,0,56,3.46
90,Bud,US,39.45,-86.18,1579821505,6.0,90,41,4.1
91,Shingu,JP,33.73,135.98,1579821206,11.0,75,93,1.0
92,Panama,PA,8.99,-79.52,1579821474,28.33,75,74,4.1
93,Dingle,PH,11.0,122.67,1579821506,25.11,28,88,4.95
94,Nola,IT,40.92,14.53,1579821506,11.0,0,87,0.5
95,Mataura,NZ,-46.19,168.86,1579821218,25.56,56,57,2.24
96,Almaznyy,RU,48.04,40.05,1579821506,-3.0,20,73,6.0
97,Nanortalik,GL,60.14,-45.24,1579821506,-1.45,100,92,7.52
98,Banes,CU,20.96,-75.72,1579821507,24.0,20,60,4.1
99,Quatre Cocos,MU,-20.21,57.76,1579821507,26.67,75,94,10.51
100,Ancud,CL,-41.87,-73.82,1579821507,21.0,1,46,4.6
101,Smithers,CA,54.78,-127.17,1579821301,1.0,75,97,1.5
102,Gander,CA,48.97,-54.59,1579821507,-3.0,90,79,6.2
103,San Cristobal,VE,7.77,-72.22,1579821507,29.0,40,62,3.1
104,Ivaipora,BR,-24.25,-51.68,1579821507,19.41,50,81,3.4
105,Kyaukse,MM,21.6,96.13,1579821508,14.0,62,87,1.29
106,Vestmannaeyjar,IS,63.44,-20.27,1579821508,1.28,100,68,17.48
107,Hobart,AU,-42.88,147.33,1579821442,17.22,75,54,7.7
108,Riyadh,SA,24.69,46.72,1579821417,6.0,0,40,3.13
109,Alofi,NU,-19.06,-169.92,1579821508,29.0,75,74,7.2
110,Naujamiestis,LT,55.69,24.15,1579821508,4.0,90,93,5.7
111,Sinop,TR,41.77,34.87,1579821508,4.68,96,68,6.44
112,Ribeira Grande,PT,38.52,-28.7,1579821444,11.77,69,73,3.85
113,Aleksandrov Gay,RU,50.15,48.57,1579821509,-8.58,3,94,3.83
114,Geraldton,AU,-28.77,114.6,1579821509,16.0,0,93,2.6
115,Newberry,US,34.27,-81.62,1579821509,10.0,75,39,2.6
116,Hithadhoo,MV,-0.6,73.08,1579821509,28.7,14,78,5.63
117,Havelock,US,34.88,-76.9,1579821399,14.0,90,71,4.6
118,Itarema,BR,-2.92,-39.92,1579821509,25.43,95,90,1.96
119,Palmer,US,42.16,-72.33,1579821365,2.78,90,63,1.5
120,Tasiilaq,GL,65.61,-37.64,1579821510,-9.0,23,43,8.2
121,Sitka,US,57.05,-135.33,1579821510,5.0,90,86,7.7
122,Bogotol,RU,56.21,89.53,1579821510,-4.03,100,85,3.65
123,Boa Vista,BR,2.82,-60.67,1579821510,31.0,49,48,3.1
124,Thanh Hoa,VN,19.8,105.77,1579821351,22.46,100,87,4.2
125,Caconda,AO,-13.73,15.07,1579821510,15.99,100,98,0.96
126,Carutapera,BR,-1.2,-46.02,1579821502,27.72,98,80,7.0
127,Bambanglipuro,ID,-7.95,110.28,1579821511,25.89,0,83,1.17
128,Hilo,US,19.73,-155.09,1579821436,27.0,90,61,4.1
129,Bengkulu,ID,-3.8,102.27,1579821511,23.65,66,92,1.66
130,Makakilo City,US,21.35,-158.09,1579821274,26.0,1,61,4.1
131,Tiksi,RU,71.69,128.87,1579821441,-34.1,4,83,2.05
132,Bentiu,SS,9.23,29.83,1579821511,16.93,58,15,3.01
133,Arraial do Cabo,BR,-22.97,-42.03,1579821511,23.0,90,94,1.0
134,Padang,ID,-0.95,100.35,1579821512,20.73,17,93,2.1
135,Bethel,US,41.37,-73.41,1579821512,3.33,1,63,0.79
136,Saskylakh,RU,71.92,114.08,1579821512,-37.98,45,95,5.64
137,Moose Factory,CA,51.26,-80.61,1579821512,-11.0,90,78,1.5
138,Athabasca,CA,54.72,-113.29,1579821512,-3.32,99,83,5.9
139,Verkhnyaya Inta,RU,65.98,60.31,1579821512,-14.23,100,96,1.32
140,Teguise,ES,29.06,-13.56,1579821512,14.0,0,76,3.1
141,Saldanha,ZA,-33.01,17.94,1579821500,23.0,19,53,1.5
142,Russell,US,32.35,-85.2,1579821513,11.11,90,93,3.1
143,Qaanaaq,GL,77.48,-69.36,1579821513,-24.25,0,60,2.42
144,Thompson,CA,55.74,-97.86,1579821352,-13.0,40,78,1.5
145,George Town,MY,5.41,100.34,1579821403,27.0,20,74,3.1
146,Inhambane,MZ,-23.86,35.38,1579821513,25.5,46,65,5.29
147,Raudeberg,NO,61.99,5.14,1579821513,6.0,75,87,5.7
148,Sabha,LY,27.04,14.43,1579821513,12.37,12,29,3.4
149,Lorengau,PG,-2.02,147.27,1579821513,28.71,53,69,3.37
150,Roblin,CA,51.23,-101.36,1579821514,-11.86,92,90,3.37
151,Mehamn,NO,71.04,27.85,1579821514,-5.0,75,85,8.2
152,Terrenate,MX,19.48,-97.92,1579821514,17.0,90,48,6.7
153,Jiwani,PK,25.05,61.74,1579821514,21.67,10,61,4.78
154,Hasaki,JP,35.73,140.83,1579821514,6.11,40,100,2.1
155,Kahului,US,20.89,-156.47,1579821514,27.0,20,54,2.6
156,Laas,IT,46.62,10.7,1579821514,0.56,5,79,1.5
157,Sao Filipe,CV,14.9,-24.5,1579821514,21.98,1,74,3.92
158,Bredasdorp,ZA,-34.53,20.04,1579821515,20.0,79,77,4.6
159,Waddan,LY,29.16,16.14,1579821515,11.47,0,47,3.72
160,Rosetta,EG,31.4,30.42,1579821515,15.0,40,72,6.2
161,Asau,RO,46.43,26.4,1579821279,-3.0,0,79,1.5
162,Guaruja,BR,-23.99,-46.26,1579821515,20.0,90,72,4.1
163,Lensk,RU,60.73,114.93,1579821243,-21.36,100,98,2.52
164,Mayo,US,38.89,-76.51,1579821511,4.0,1,80,0.27
165,East London,ZA,-33.02,27.91,1579821515,20.14,61,78,5.81
166,Peterhead,GB,57.51,-1.8,1579821516,8.89,100,87,4.1
167,Obala,CM,4.17,11.53,1579821516,16.0,20,93,0.62
168,Cururupu,BR,-1.83,-44.87,1579821516,24.22,100,96,0.96
169,Pangnirtung,CA,66.15,-65.71,1579821516,-31.0,20,67,1.3
170,Novobiryusinskiy,RU,56.96,97.71,1579821516,-9.09,100,95,2.97
171,Pevek,RU,69.7,170.31,1579821221,-33.33,99,99,2.67
172,Codrington,AU,-38.27,141.97,1579821516,16.68,88,73,8.29
173,Guisa,CU,20.25,-76.54,1579821517,22.0,20,64,4.1
174,Tsabong,BW,-26.02,22.4,1579821517,27.37,20,36,8.73
175,Belem,BR,-1.46,-48.5,1579821503,27.0,75,83,3.1
176,Esperance,AU,-33.87,121.9,1579821517,17.0,90,82,3.6
177,Alice Springs,AU,-23.7,133.88,1579821517,28.0,28,28,7.2
178,Verkhnevilyuysk,RU,63.45,120.32,1579821517,-44.11,47,98,0.64
179,Faya,SA,18.39,42.45,1579821517,11.0,40,87,5.1
180,Chardara,KZ,41.25,67.97,1579821517,5.75,100,41,5.36
181,Kitui,KE,-1.37,38.01,1579821518,22.04,100,68,1.05
182,Santa Maria,BR,-29.68,-53.81,1579821518,26.0,20,65,3.6
183,Lompoc,US,34.64,-120.46,1579821435,22.0,1,59,4.6
184,Brody,UA,50.09,25.15,1579821518,-1.48,2,87,4.56
185,Wenling,CN,28.37,121.36,1579821518,12.22,100,94,7.09
186,Arrondissement de Vannes,FR,47.83,-2.5,1579821518,5.0,100,70,6.7
187,Darhan,MN,49.49,105.92,1579821518,-21.41,0,82,2.19
188,Davila,PH,18.47,120.58,1579821518,19.0,20,100,2.6
189,Coyhaique,CL,-45.58,-72.07,1579821280,16.0,75,41,4.6
190,Marigot,MF,18.07,-63.08,1579821519,26.0,40,88,2.1
191,Mala Tokmachka,UA,47.54,35.89,1579821519,-2.0,75,79,3.0
192,Provideniya,RU,64.38,-173.3,1579821346,-19.0,89,70,1.0
193,Makkaveyevo,RU,51.75,113.95,1579821519,-30.0,51,67,0.39
194,Havre-Saint-Pierre,CA,50.23,-63.6,1579821519,-2.0,90,92,5.7
195,La Asuncion,VE,11.03,-63.86,1579821520,29.0,40,74,2.53
196,Aasiaat,GL,68.71,-52.87,1579821520,-11.52,100,75,9.65
197,Broome,US,42.25,-75.83,1579821245,2.0,1,37,1.41
198,Concarneau,FR,47.88,-3.92,1579821520,5.0,100,86,3.6
199,Camana,PE,-16.62,-72.71,1579821520,18.62,99,95,2.91
200,Vallenar,CL,-28.57,-70.76,1579821520,18.1,42,72,2.68
201,Stollberg,DE,50.72,12.8,1579821520,-2.22,0,77,1.0
202,Oksfjord,NO,70.24,22.35,1579821520,-2.0,99,73,7.7
203,Port Lincoln,AU,-34.73,135.87,1579821521,19.93,4,55,5.11
204,Ndola,ZM,-12.96,28.64,1579821521,16.34,99,97,1.07
205,Hobyo,SO,5.35,48.53,1579821521,26.27,96,77,7.93
206,Kaitangata,NZ,-46.28,169.85,1579821521,15.39,99,83,5.79
207,Safaga,EG,26.73,33.94,1579821521,13.0,0,50,3.6
208,Clyde River,CA,70.47,-68.59,1579821521,-29.0,5,75,7.7
209,Mogadouro,PT,41.34,-6.71,1579821521,6.25,100,84,2.03
210,Santo Antonio do Ica,BR,-3.1,-67.94,1579821522,26.66,87,83,0.61
211,Hong Kong,HK,22.29,114.16,1579821486,22.78,40,83,3.6
212,Moratuwa,LK,6.77,79.88,1579821522,25.0,0,94,3.6
213,Ardesen,TR,41.19,40.99,1579821522,5.0,75,75,8.7
214,Ganzhou,CN,28.82,115.43,1579821522,7.79,94,96,1.55
215,Saint-Leu,RE,-21.15,55.28,1579821522,26.0,90,100,2.1
216,Leningradskiy,RU,69.38,178.42,1579821522,-32.35,11,95,0.61
217,Banda Aceh,ID,5.56,95.32,1579821523,22.68,34,90,2.68
218,Tura,IN,25.52,90.22,1579821523,11.24,0,68,1.24
219,Algiers,DZ,36.75,3.04,1579821367,7.0,20,93,2.74
220,Upata,VE,8.01,-62.4,1579821247,24.21,86,78,1.79
221,Agapovka,RU,53.3,59.13,1579821523,-7.0,40,79,2.0
222,Port-Cartier,CA,50.03,-66.87,1579821523,-1.0,90,80,4.1
223,Hay River,CA,60.82,-115.8,1579821524,-13.0,90,84,6.2
224,Flinders,AU,-34.58,150.86,1579821524,25.0,40,69,6.2
225,Andenes,NO,69.31,16.12,1579821524,2.0,63,74,7.2
226,Chifeng,CN,42.27,118.96,1579821524,-13.35,0,76,1.42
227,Laguna,US,38.42,-121.42,1579821265,15.0,40,82,1.31
228,Aksarka,RU,66.56,67.8,1579821524,-10.82,100,95,2.51
229,Sayyan,YE,15.17,44.32,1579821524,10.54,2,80,0.81
230,Faanui,PF,-16.48,-151.75,1579821524,27.97,15,74,3.41
231,Vaini,TO,-21.2,-175.2,1579821524,29.0,20,74,4.1
232,Tommot,RU,58.96,126.29,1579821525,-33.33,96,99,0.69
233,Ostrovnoy,RU,68.05,39.51,1579821525,-13.23,100,94,3.95
234,San Vicente,AR,-26.62,-54.13,1579821525,21.67,32,99,2.86
235,Kavieng,PG,-2.57,150.8,1579821525,28.67,55,69,3.89
236,Atar,MR,20.52,-13.05,1579821525,20.81,100,20,3.01
237,Port Blair,IN,11.67,92.75,1579821426,24.0,38,94,5.8
238,Tungor,RU,53.38,142.96,1579821525,-20.96,87,93,1.53
239,Tabou,CI,4.42,-7.35,1579821526,25.71,42,91,1.3
240,Nhulunbuy,AU,-12.23,136.77,1579821526,28.0,75,83,6.2
241,Oddur,SO,4.12,43.89,1579821526,24.92,100,68,7.17
242,Klaksvik,FO,62.23,-6.59,1579821250,3.0,52,69,9.8
243,Hoa Binh,VN,20.81,105.34,1579821526,22.0,75,88,2.1
244,Kununurra,AU,-15.77,128.73,1579821526,27.0,87,83,3.6
245,Cocobeach,GA,1.0,9.58,1579821526,29.0,20,83,2.6
246,Gedzhukh,RU,42.13,48.06,1579821527,-1.76,89,82,0.57
247,Sylacauga,US,33.17,-86.25,1579821527,8.33,90,100,2.1
248,Batticaloa,LK,7.71,81.69,1579821527,23.05,21,93,1.43
249,Bathsheba,BB,13.22,-59.52,1579821527,24.0,75,94,4.6
250,Muroto,JP,33.28,134.15,1579821527,12.0,75,93,4.1
251,Mackay,AU,-21.15,149.2,1579821527,31.67,93,74,2.6
252,Hue,VN,16.47,107.6,1579821338,19.0,20,93,0.5
253,Pokhara,NP,28.23,83.98,1579821284,6.73,2,90,1.01
254,Namie,JP,37.48,141.0,1579821528,5.56,75,100,5.7
255,Alexandria,EG,31.22,29.96,1579821367,15.0,40,72,6.2
256,Karaton,ID,-6.34,106.1,1579821528,27.22,40,94,1.5
257,Sinor,IN,21.92,73.33,1579821528,17.06,27,51,2.87
258,Vila,PT,42.03,-8.16,1579821475,11.67,40,62,2.1
259,Selestat,FR,48.26,7.46,1579821528,0.0,90,86,2.1
260,Bagrami,AF,34.49,69.27,1579821528,-6.0,77,73,3.1
261,Antsohihy,MG,-14.88,47.99,1579821529,23.37,100,97,3.22
262,Gimli,CA,50.63,-96.99,1579821381,-11.41,100,92,0.93
263,Grand-Lahou,CI,5.14,-5.02,1579821529,27.68,62,88,5.13
264,Flin Flon,CA,54.77,-101.86,1579821529,-10.0,20,92,1.0
265,Jumla,NP,29.27,82.18,1579821529,-8.73,0,53,2.92
266,Aswan,EG,24.09,32.91,1579821529,11.0,0,43,2.6
267,Puerto Madero,MX,14.72,-92.42,1579821530,29.0,20,66,4.1
268,San Quintin,MX,30.48,-115.95,1579821530,16.42,0,72,3.57
269,Eyl,SO,7.98,49.82,1579821530,25.75,83,82,9.43
270,Bronnoysund,NO,65.46,12.2,1579821530,5.0,20,60,7.7
271,Abu Kamal,SY,34.45,40.92,1579821530,8.61,2,60,5.19
272,Sarakhs,IR,36.54,61.16,1579821530,10.0,79,71,3.1
273,Tomatlan,MX,19.93,-105.25,1579821530,23.73,100,65,2.37
