Number,City,Country,Latitude,Longitude,Date,Max Temp (C),Cloudiness %,Humidity %,Wind Speed (kph)
274,Port Said,EG,31.26,32.28,1579821531,11.0,80,81,3.6
275,Khandyga,RU,62.67,135.6,1579821531,-39.86,24,99,0.54
276,Burlington,US,39.88,-74.64,1579821248,4.44,1,47,0.8
277,Alappuzha,IN,9.49,76.33,1579821531,21.65,0,88,1.11
278,San Matias,BO,-16.37,-58.4,1579821531,27.2,97,67,1.94
279,Cockburn Town,TC,21.46,-71.14,1579821374,25.0,40,61,5.1
280,Guerrero Negro,MX,27.98,-114.06,1579821531,20.67,0,48,5.05
281,Qaqortoq,GL,60.72,-46.03,1579821329,-5.0,100,62,5.7
282,Maceio,BR,-9.67,-35.74,1579821445,27.0,100,83,5.1
283,Zhigansk,RU,66.77,123.37,1579821273,-37.1,5,98,2.61
284,Swakopmund,NA,-22.68,14.53,1579821459,18.89,3,88,1.5
285,Pitimbu,BR,-7.47,-34.81,1579821532,28.0,20,78,4.1
286,Ilulissat,GL,69.22,-51.1,1579821532,-11.0,100,51,10.8
287,Hamilton,US,39.18,-84.53,1579821532,7.22,90,45,2.37
288,Druzhba,UA,52.04,33.95,1579821533,-2.77,26,66,4.06
289,Saint Anthony,US,45.02,-93.22,1579821533,1.11,90,74,2.1
290,Homer,US,59.64,-151.55,1579821533,-7.0,1,52,2.1
291,Khatanga,RU,71.97,102.5,1579821373,-30.96,100,88,4.07
292,Esil,KZ,51.96,66.4,1579821533,0.09,100,90,10.23
293,Gijang,KR,35.24,129.21,1579821533,4.0,96,93,1.5
294,Matamoros,MX,25.53,-103.25,1579821533,23.0,5,25,2.33
295,Cidreira,BR,-30.18,-50.21,1579821533,23.16,29,74,9.89
296,Hirara,JP,24.8,125.28,1579821533,19.0,20,93,1.5
297,Saint-Augustin,CA,51.23,-58.65,1579821534,-3.55,100,85,7.28
298,Visby,SE,57.64,18.3,1579821534,7.78,94,87,6.7
299,Santa Lucia,ES,27.91,-15.54,1579821304,16.0,20,63,2.6
300,Marzuq,YE,14.4,46.47,1579821534,14.79,17,71,0.93
301,Sirte,LY,31.21,16.59,1579821534,10.95,88,79,4.64
302,Mahajanga,MG,-15.72,46.32,1579821534,26.0,40,88,6.2
303,Mildura,AU,-34.2,142.15,1579821294,17.78,0,51,2.1
304,Leszno,PL,51.84,16.57,1579821535,1.11,0,87,2.1
305,Carnarvon,AU,-24.87,113.63,1579821535,24.0,0,69,4.6
306,Nikolskoye,RU,59.7,30.79,1579821535,0.56,90,96,4.0
307,Katsuura,JP,35.13,140.3,1579821535,10.0,75,81,3.1
308,Maniitsoq,GL,65.42,-52.9,1579821535,-4.38,100,87,12.04
309,Kitimat,CA,54.05,-128.65,1579821535,1.0,90,100,2.6
310,Kimbe,PG,-5.55,150.14,1579821535,29.9,31,68,1.66
311,Sherbrooke,CA,45.4,-71.9,1579821474,-1.11,20,58,2.1
312,Uyemskiy,RU,64.47,40.85,1579821536,-4.0,90,92,4.0
313,Sobolevo,RU,54.43,31.9,1579821536,-1.35,100,86,4.94
314,Luderitz,NA,-26.65,15.16,1579821536,20.0,0,82,1.0
315,Corsicana,US,32.1,-96.47,1579821495,14.0,1,62,4.1
316,Mpraeso,GH,6.59,-0.73,1579821536,22.93,66,80,1.52
317,Vostok,RU,46.49,135.88,1579821536,-20.74,100,97,6.01
318,Talnakh,RU,69.49,88.4,1579821537,-17.0,75,77,9.0
319,Nantucket,US,41.28,-70.1,1579821537,3.33,1,93,2.6
320,Saint George,US,37.1,-113.58,1579821537,15.0,1,41,0.38
321,Zheleznodorozhnyy,RU,55.75,38.0,1579821537,-3.89,20,73,3.0
322,Ciudad Lazaro Cardenas,MX,17.96,-102.2,1579821537,26.34,97,68,2.97
323,Houma,US,29.6,-90.72,1579821537,19.0,59,93,2.1
324,Beberibe,BR,-4.18,-38.13,1579821537,29.0,40,74,6.7
325,Buala,SB,-8.14,159.59,1579821537,30.08,0,63,2.8
326,Leshukonskoye,RU,64.9,45.76,1579821281,-17.0,55,97,1.7
327,Ankola,IN,14.67,74.3,1579821538,22.7,0,55,2.91
328,Luanshya,ZM,-13.14,28.42,1579821538,16.34,99,97,1.07
329,Oranjemund,NA,-28.55,16.43,1579821538,18.05,0,85,0.21
330,Berdigestyakh,RU,62.1,126.7,1579821538,-41.17,5,99,0.97
331,Christchurch,NZ,-43.53,172.63,1579821472,23.33,14,60,6.7
332,Playa Vicente,MX,17.83,-95.82,1579821538,27.22,39,68,1.79
333,Cherskiy,RU,68.75,161.3,1579821518,-39.11,43,93,1.49
334,San Patricio,MX,19.22,-104.7,1579821539,29.0,75,70,3.09
335,La Providencia,MX,28.72,-111.58,1579821321,25.56,5,41,5.65
336,Norilsk,RU,69.35,88.2,1579821539,-17.0,75,77,9.0
337,Mahibadhoo,MV,3.78,72.97,1579821539,28.34,51,81,8.85
338,Altay,CN,47.87,88.12,1579821539,-12.44,73,77,2.4
339,Bambous Virieux,MU,-20.34,57.76,1579821539,26.67,75,94,6.62
340,Mount Isa,AU,-20.73,139.5,1579821540,28.0,90,78,3.6
341,Saint-Pierre,RE,-21.34,55.48,1579821540,26.0,90,100,2.1
342,Kurilsk,RU,45.23,147.88,1579821540,-4.7,75,74,4.27
343,Nerchinskiy Zavod,RU,51.31,119.61,1579821540,-29.07,0,83,2.02
344,Beringovskiy,RU,63.05,179.32,1579821540,-16.44,100,96,4.28
345,Trelleborg,SE,55.38,13.16,1579821540,6.11,90,100,7.2
346,Chiredzi,ZW,-21.05,31.67,1579821540,21.5,6,89,5.23
347,Sassandra,CI,4.95,-6.08,1579821541,26.67,45,89,3.09
348,Kaele,CM,10.11,14.45,1579821541,18.95,14,14,6.32
349,Cortez,US,37.35,-108.59,1579821465,7.0,1,48,5.7
350,Shima,CN,24.45,117.81,1579821541,18.0,90,88,3.0
351,Cayenne,GF,4.93,-52.33,1579821541,25.0,24,78,2.1
352,Ternate,ID,0.8,127.4,1579821541,27.46,3,71,1.05
353,Marawi,PH,8.0,124.29,1579821541,24.44,26,91,2.68
354,Gijon,ES,43.54,-5.66,1579821264,8.89,100,100,1.0
355,Altamira,BR,-3.2,-52.21,1579821542,25.85,56,76,0.86
356,Deputatsky,RU,69.3,139.9,1579821542,-35.74,61,97,1.12
357,Freeport,US,40.66,-73.58,1579821542,6.0,1,56,2.87
358,Dokka,NO,60.84,10.06,1579821542,2.78,22,76,0.89
359,Bilibino,RU,68.05,166.44,1579821281,-39.22,1,100,0.69
360,Arrondissement de Saint-Gaudens,FR,43.08,0.67,1579821542,7.78,82,100,1.0
361,Zhuhai,CN,22.28,113.57,1579821542,22.78,40,100,1.5
362,Metro,ID,-5.11,105.31,1579821543,25.1,98,91,2.51
363,Lavumisa,SZ,-27.31,31.89,1579821543,23.0,54,78,2.1
364,Ankang,CN,32.68,109.02,1579821543,2.8,100,90,1.41
365,Ubari,LY,26.59,12.78,1579821543,12.99,88,27,4.15
366,Tahta,EG,26.77,31.5,1579821543,8.0,0,65,2.1
367,Kapoeta,SS,4.77,33.59,1579821543,24.16,83,20,2.1
368,Taltal,CL,-25.4,-70.48,1579821543,20.37,6,74,0.77
369,Tilichiki,RU,60.47,166.1,1579821544,-26.64,100,90,5.45
370,La Ronge,CA,55.1,-105.28,1579821544,-6.0,90,85,2.6
371,Coquimbo,CL,-29.95,-71.34,1579821285,22.0,38,60,6.2
372,OEstersund,SE,63.18,14.64,1579821544,2.0,86,80,5.1
373,Juneau,US,58.3,-134.42,1579821339,4.0,90,86,8.7
374,Ca Mau,VN,9.18,105.15,1579821487,22.96,97,90,2.42
375,Chengde,CN,40.97,117.94,1579821544,-11.57,0,78,1.18
376,Piacabucu,BR,-10.41,-36.43,1579821545,26.65,98,84,4.57
377,Graaff-Reinet,ZA,-32.25,24.53,1579821545,17.22,0,88,0.89
378,Pokaran,IN,26.92,71.92,1579821545,13.54,81,48,2.74
379,Sao Joao da Barra,BR,-21.64,-41.05,1579821545,23.25,100,95,4.1
380,Samarai,PG,-10.62,150.67,1579821545,31.58,65,56,0.83
381,Goderich,CA,43.75,-81.72,1579821480,1.67,100,92,0.45
382,Bima,ID,-8.47,118.72,1579821545,26.04,40,83,0.81
383,Bay Roberts,CA,47.6,-53.26,1579821545,-2.78,90,79,6.2
384,San Fernando del Valle de Catamarca,AR,-28.47,-65.79,1579821546,16.41,77,76,2.29
385,Remontnoye,RU,46.56,43.65,1579821546,-2.0,60,92,8.0
386,Corn Island,NI,12.17,-83.04,1579821546,25.61,25,79,6.66
387,Eldorado,BR,-23.79,-54.28,1579821546,20.42,63,88,1.87
388,Sangar,RU,63.92,127.47,1579821546,-41.55,92,99,1.22
389,Vestmanna,FO,62.16,-7.17,1579821546,3.0,86,74,12.9
390,Emerald,AU,-23.53,148.17,1579821253,28.89,90,78,4.6
391,Huilong,CN,31.81,121.66,1579821547,11.67,100,89,5.17
392,Arua,UG,3.02,30.91,1579821547,20.15,59,29,3.22
393,Honningsvag,NO,70.98,25.97,1579821547,-5.0,90,85,8.2
394,Korla,CN,41.76,86.15,1579821547,-10.48,0,72,1.81
395,Charagua,BO,-19.8,-63.22,1579821547,30.0,20,40,1.5
396,Souillac,MU,-20.52,57.52,1579821547,26.67,75,94,5.67
397,Sambava,MG,-14.27,50.17,1579821547,23.1,100,97,0.47
398,Filingue,NE,14.35,3.32,1579821251,21.97,6,12,5.67
399,Touros,BR,-5.2,-35.46,1579821548,28.0,40,78,4.1
400,Haines Junction,CA,60.75,-137.51,1579821548,-17.57,100,97,2.19
401,Kirovskiy,RU,45.09,133.51,1579821548,-17.5,0,87,3.61
402,Langfang,CN,39.51,116.69,1579821548,-1.11,74,42,2.0
403,Barcelos,PT,41.54,-8.62,1579821297,10.0,20,81,3.6
404,Santiago,CL,-33.46,-70.65,1579821304,29.0,94,37,4.6
405,Pecos,US,31.42,-103.49,1579821324,16.0,1,31,4.6
406,Bellevue,US,47.61,-122.2,1579821252,13.0,90,93,3.1
407,Petropavlovsk-Kamchatsky,RU,53.05,158.65,1579821549,-19.0,0,58,3.0
408,Seoul,KR,37.57,126.98,1579821412,0.0,1,92,1.68
409,Tulun,RU,54.56,100.58,1579821287,-15.72,100,89,2.42
410,Werda,BW,-25.27,23.28,1579821549,24.4,38,51,6.45
411,Walvis Bay,NA,-22.96,14.51,1579821258,18.89,0,88,1.5
412,Svobodnyy,RU,51.4,128.13,1579821549,-25.69,0,79,5.63
413,Belaya Gora,RU,68.53,146.42,1579821550,-35.49,77,84,1.13
414,Kutum,SD,14.2,24.67,1579821550,4.89,0,35,2.5
415,Pierre,US,44.37,-100.35,1579821345,-2.78,90,85,5.7
416,Garoua,CM,9.3,13.4,1579821550,21.4,66,12,4.14
417,Zeya,RU,53.75,127.27,1579821550,-30.02,0,81,3.47
418,Yar-Sale,RU,66.83,70.83,1579821550,-11.91,100,95,3.88
419,Husavik,IS,66.04,-17.34,1579821283,-1.0,90,58,23.1
420,Ulaangom,MN,49.98,92.07,1579821551,-20.32,100,95,1.52
421,Hajnowka,PL,52.74,23.58,1579821551,2.22,74,79,1.34
422,Nishihara,JP,26.18,127.76,1579821551,19.0,75,88,1.5
423,Chaniotis,GR,40.0,23.58,1579821551,6.67,69,75,3.18
424,Ginda,IN,30.69,78.49,1579821551,1.59,0,25,2.68
425,Peleduy,RU,59.63,112.74,1579821551,-18.25,100,93,3.86
426,Corpus Christi,US,27.8,-97.4,1579821551,23.0,20,60,5.7
427,Nar'yan-Mar,RU,67.67,53.09,1579821552,-16.23,87,96,3.99
428,Progreso,MX,21.28,-89.67,1579821552,26.0,20,50,5.1
429,Aguimes,ES,27.91,-15.45,1579821303,16.0,20,63,2.6
430,Jinchang,CN,38.5,102.17,1579821552,-9.11,38,60,0.78
431,Tambura,SS,5.6,27.47,1579821552,17.75,70,23,2.78
432,Zhangjiakou Shi Xuanhua Qu,CN,40.61,115.04,1579821552,-9.4,4,74,0.58
433,Chicama,PE,-7.84,-79.15,1579821552,26.0,40,65,2.1
434,Phek,IN,25.67,94.5,1579821553,0.48,0,84,0.49
435,Peace River,CA,56.25,-117.29,1579821553,-2.0,90,74,3.6
436,Szigetvar,HU,46.05,17.81,1579821553,-6.67,0,94,2.91
437,Vardo,NO,70.37,31.11,1579821553,-7.0,90,92,4.1
438,Waingapu,ID,-9.66,120.26,1579821553,28.04,32,73,3.11
439,Ilhabela,BR,-23.78,-45.36,1579821553,22.5,100,78,0.28
440,Sharlyk,RU,52.92,54.75,1579821553,-12.63,98,94,2.99
441,Aranos,NA,-24.13,19.12,1579821553,23.77,32,22,3.08
442,Cibitoke Province,BI,-2.88,29.25,1579821554,15.42,97,93,0.59
443,Guadalupe y Calvo,MX,26.1,-106.97,1579821554,12.1,0,41,1.84
444,Gbadolite,CD,4.28,21.02,1579821554,18.53,87,27,1.53
445,Galveston,US,29.37,-94.97,1579821554,17.0,40,72,7.2
446,Dali,CN,25.7,100.18,1579821554,-1.01,0,75,0.71
447,Chapais,CA,49.78,-74.85,1579821461,-10.0,90,78,3.1
448,Vuktyl,RU,63.86,57.31,1579821554,-13.47,94,96,1.29
449,Scarborough,GB,54.28,-0.4,1579821554,7.78,14,93,2.6
450,Barabinsk,RU,55.36,78.36,1579821555,-0.83,100,95,7.74
451,Krasnosel'kup,RU,65.7,82.47,1579821555,-10.98,100,92,8.09
452,Talara,PE,-4.58,-81.27,1579821555,17.0,0,100,5.1
453,Peniche,PT,39.36,-9.38,1579821555,9.44,40,93,3.6
454,Tazovsky,RU,67.47,78.7,1579821555,-14.69,100,94,6.5
455,Nakhon Phanom,TH,17.41,104.78,1579821555,19.04,68,79,0.66
456,Falam,MM,22.92,93.68,1579821555,5.62,19,94,0.99
457,Ixtapa,MX,20.7,-105.2,1579821556,26.11,20,69,3.1
458,Eureka,US,40.8,-124.16,1579821556,15.56,90,82,2.6
459,Assiut,EG,27.18,31.18,1579821556,7.0,0,75,1.0
460,Santa Fe,AR,-31.63,-60.7,1579821556,30.0,0,40,1.79
461,Emilio Carranza,MX,19.97,-96.61,1579821556,22.93,83,78,2.71
462,Moindou,NC,-21.69,165.68,1579821556,31.0,75,45,3.6
463,Marsh Harbour,BS,26.54,-77.06,1579821556,21.87,0,73,8.61
464,Nouadhibou,MR,20.93,-17.03,1579821556,17.0,22,67,5.7
465,Popondetta,PG,-8.75,148.25,1579821557,27.36,96,76,0.51
466,Gizo,SB,-8.1,156.84,1579821557,27.89,27,71,3.49
467,Roebourne,AU,-20.78,117.13,1579821557,30.74,11,46,2.14
468,Rio Grande,BR,-32.03,-52.1,1579821557,26.0,40,61,6.2
469,Meulaboh,ID,4.14,96.13,1579821557,27.37,24,82,4.23
470,Rancho Veloz,CU,22.88,-80.39,1579821557,22.0,40,68,3.6
471,Paamiut,GL,61.99,-49.67,1579821557,-3.05,100,93,15.95
472,Pucallpa,PE,-8.38,-74.55,1579821557,2.0,90,100,2.1
473,Nabire,ID,-3.37,135.48,1579821522,28.02,9,76,0.22
474,Henties Bay,NA,-22.12,14.28,1579821265,18.89,0,91,2.05
475,Puerto Colombia,CO,10.99,-74.95,1579821558,29.0,20,62,7.2
476,Itoman,JP,26.12,127.67,1579821558,19.0,75,88,1.5
477,Iquitos,PE,-3.75,-73.25,1579821558,6.0,75,100,4.6
478,Taybad,IR,34.74,60.78,1579821558,6.18,91,89,5.03
479,Manta,EC,-0.95,-80.73,1579821411,29.0,75,70,4.6
480,Antalaha,MG,-14.9,50.28,1579821559,26.8,100,81,2.01
481,Craig,US,40.52,-107.55,1579821559,0.0,90,80,1.46
482,Dunedin,NZ,-45.87,170.5,1579821559,15.74,84,86,4.15
483,Raja,SS,8.46,25.68,1579821559,12.9,10,24,2.58
484,Helong,CN,42.54,129.0,1579821292,-17.43,0,84,2.66
485,Krasnik,PL,50.92,22.23,1579821278,0.56,90,84,4.6
486,Skibbereen,IE,51.55,-9.27,1579821559,6.0,90,93,2.6
487,Ormara,PK,25.21,64.64,1579821559,21.27,31,53,2.69
488,Isangel,VU,-19.55,169.27,1579821260,28.0,20,69,2.6
489,Khovd,MN,48.01,91.64,1579821560,-13.27,82,57,2.12
490,Datong,CN,40.09,113.29,1579821560,-10.94,45,84,0.71
491,Dukat,RU,62.55,155.55,1579821560,-37.89,99,99,1.25
492,Anadyr,RU,64.75,177.48,1579821560,-25.56,40,75,7.0
493,Ostrogozhsk,RU,50.87,39.08,1579821560,-6.42,65,83,4.89
494,Whitecourt,CA,54.15,-115.69,1579821560,-5.0,75,85,2.6
495,Cuautepec,MX,16.7,-99.0,1579821561,27.93,56,72,7.47
496,Kupang,ID,-10.17,123.58,1579821561,25.0,75,100,0.5
497,Santa Cruz de la Palma,ES,28.68,-17.76,1579821561,16.0,59,63,3.1
498,Constitucion,CL,-35.33,-72.42,1579821561,14.84,99,93,2.23
499,Xingyi,CN,24.19,102.82,1579821561,6.75,0,79,0.98
500,Awjilah,LY,29.11,21.29,1579821561,11.62,0,56,3.46
501,Vila Velha,BR,-20.33,-40.29,1579821561,25.0,90,88,4.6
502,Turaif,SA,31.67,38.66,1579821562,6.0,75,100,4.6
503,Gloggnitz,AT,47.67,15.94,1579821562,0.56,0,88,8.2
504,Jackson,US,42.42,-122.83,1579821340,10.56,90,81,2.1
505,Kuybysheve,UA,47.36,36.65,1579821562,-2.21,43,69,6.45
506,Jalingo,NG,8.88,11.37,1579821562,20.3,73,15,2.95
507,Adrasmon,TJ,40.65,69.99,1579821562,-1.0,90,92,8.0
508,Outjo,NA,-20.12,16.15,1579821562,22.0,38,33,3.2
509,Yerbogachen,RU,61.28,108.01,1579821562,-26.99,34,96,2.41
510,Ambilobe,MG,-13.2,49.05,1579821306,25.11,100,91,3.62
511,Longyearbyen,SJ,78.22,15.64,1579821563,-14.0,20,71,21.1
512,Tuni,IN,17.35,82.55,1579821563,18.14,8,89,0.81
513,Sioux Lookout,CA,50.1,-91.92,1579821563,-9.0,40,85,1.0
514,Varhaug,NO,58.61,5.65,1579821563,8.0,75,93,5.7
515,Port Augusta,AU,-32.5,137.77,1579821563,18.89,23,59,3.1
516,Nizhnevartovsk,RU,60.93,76.55,1579821563,-3.0,90,86,6.0
517,Diego de Almagro,CL,-26.37,-70.05,1579821563,19.52,16,62,2.8
518,Great Bend,US,38.36,-98.76,1579821564,4.0,90,80,10.8
519,Ashland,US,40.82,-82.27,1579821564,4.44,75,59,2.6
520,Mana,GF,5.66,-53.78,1579821564,21.75,67,88,1.73
521,Basti,IN,26.8,82.72,1579821564,8.23,10,78,3.79
522,Karratha,AU,-20.74,116.85,1579821564,28.58,11,75,4.23
523,East Brunswick,US,40.43,-74.42,1579821564,5.56,1,51,1.95
524,Zabaykalsk,RU,49.63,117.32,1579821565,-23.39,0,76,1.63
525,Yeniseysk,RU,58.45,92.17,1579821565,-4.75,100,92,4.03
526,Vila Franca do Campo,PT,37.72,-25.43,1579821565,12.0,40,87,2.1
527,Tefe,BR,-3.35,-64.71,1579821565,31.0,20,70,1.5
528,Igarka,RU,67.47,86.58,1579821565,-17.89,100,94,7.28
529,Launceston,AU,-41.45,147.17,1579821458,20.56,40,63,10.3
530,San Ramon de la Nueva Oran,AR,-23.13,-64.33,1579821565,23.79,92,79,1.52
531,Saint-Joseph,RE,-21.37,55.62,1579821566,26.0,90,100,2.1
532,Ust-Maya,RU,60.42,134.53,1579821566,-37.25,88,97,0.5
533,Gusau,NG,12.16,6.66,1579821566,18.87,33,17,6.13
534,Mpika,ZM,-11.83,31.45,1579821566,15.84,100,96,0.73
535,Bosaso,SO,11.28,49.18,1579821566,24.67,93,80,3.41
536,Fare,PF,-16.7,-151.02,1579821566,28.37,0,73,4.83
537,Rocky Mountain House,CA,52.37,-114.92,1579821566,1.64,94,81,1.78
538,Batagay,RU,67.63,134.63,1579821566,-38.13,95,93,0.5
539,Golden,US,39.76,-105.22,1579821441,7.0,90,30,2.54
540,Aripuana,BR,-9.17,-60.63,1579821567,23.77,100,97,0.72
541,Nara,JP,34.69,135.8,1579821567,12.0,75,100,1.0
542,Morristown,US,36.21,-83.29,1579821525,9.0,90,52,1.55
543,Xining,CN,36.62,101.77,1579821567,-9.69,100,94,0.69
